INSEE_COM;NOM_COM;IRIS;CODE_IRIS;NOM_IRIS;TYP_IRIS;ISIU_Area_IRIS_Km2;ISIU_Indice_1_PopLog_per_Km2_Normalise;ISIU_Indice_2_Volume_Batiment_Normalise;ISIU_Indice_3_Green_Space_Ratio_Normalise;ISIU_Indice_4_Shannon_Diversity_Normalise;ISIU_Indice_5_Transport_Roads_Ratio_Normalise;ISIU_Indice_6Normalise;Dimension_1_Humaine;Dimension_2_Qualite_Vie;Dimension_3_Accessibilite;ISIU_Globale_Normalise
13213;Marseille 13e Arrondissement;904;132130904;Val d'Azur;H;0.368;0;0.037513152;0.016;0.772;0.006;0.172;0.037513152;0.788;0.178;0.446568461
13213;Marseille 13e Arrondissement;1102;132131102;Les Balustres;H;0.172;0;0.04822716;0.024;0.835;0.01;0.15;0.04822716;0.859;0.16;0.476138046
13213;Marseille 13e Arrondissement;1103;132131103;La Baronne;H;2.198;0;0.01964093;0.024;0.85;0.005;0.094;0.01964093;0.874;0.099;0.441522677
13213;Marseille 13e Arrondissement;103;132130103;Château-Gombert-Fumade;H;1.508;0;0.028054878;0.022;0.843;0.006;0.093;0.028054878;0.865;0.099;0.441250692
13214;Marseille 14e Arrondissement;401;132140401;La Batarelle;H;0.82;0;0.01435396;0.136;0.836;0.004;0.034;0.01435396;0.972;0.038;0.456240652
13214;Marseille 14e Arrondissement;402;132140402;Guynemer;H;0.904;0;0.023728232;0.032;0.896;0.004;0.087;0.023728232;0.928;0.091;0.464768127
13213;Marseille 13e Arrondissement;501;132130501;Les Mourets;H;4.282;0;0.003614661;0;0.373;0.001;0;0.003614661;0.373;0.001;0.156089815
13213;Marseille 13e Arrondissement;701;132130701;Palama;H;4.973;0;0.003116979;0.004;0.566;0.001;0.001;0.003116979;0.57;0.002;0.247750375
13213;Marseille 13e Arrondissement;902;132130902;Normandie-Niémen;H;0.573;0;0.046894731;0.043;0.854;0.007;0.166;0.046894731;0.897;0.173;0.499188699
13213;Marseille 13e Arrondissement;1101;132131101;Les Prairies;H;0.463;0;0.040175375;0.013;0.859;0.005;0.101;0.040175375;0.872;0.106;0.453373179
13203;Marseille 3e Arrondissement;304;132030304;Briancon;A;0.231;0;0.131286514;0.185;0.959;0.006;0.155;0.131286514;1.144;0.161;0.647417995
13203;Marseille 3e Arrondissement;302;132030302;Arzial-La Butte;H;0.215;0;0.099505686;0.033;0.898;0.007;0.194;0.099505686;0.931;0.201;0.552379489
13203;Marseille 3e Arrondissement;303;132030303;Pyat Auphan;H;0.172;0;0.070131545;0.137;0.954;0.008;0.175;0.070131545;1.091;0.183;0.604648998
13203;Marseille 3e Arrondissement;401;132030401;Potier;H;0.125;0.001;0.125706917;0.097;0.926;0.007;0.216;0.126706917;1.023;0.223;0.61791079
13203;Marseille 3e Arrondissement;402;132030402;Peyssonnel;H;0.167;0.001;0.236726686;0.078;0.914;0.006;0.199;0.237726686;0.992;0.205;0.646694081
13203;Marseille 3e Arrondissement;403;132030403;Fonscolombes;H;0.088;0.001;0.162642598;0.008;0.807;0.005;0.185;0.163642598;0.815;0.19;0.523204814
13207;Marseille 7e Arrondissement;101;132070101;Oriol-Baudille;H;0.37;0;0.050167306;0;0.617;0.007;0.141;0.050167306;0.617;0.148;0.359157408
13207;Marseille 7e Arrondissement;201;132070201;Valmer;H;0.251;0;0.05852197;0.27;0.91;0.008;0.123;0.05852197;1.18;0.131;0.61643266
13207;Marseille 7e Arrondissement;202;132070202;Malmousque-Pêcheurs;H;0.255;0;0.069328112;0.006;0.784;0.011;0.265;0.069328112;0.79;0.276;0.507743606
13207;Marseille 7e Arrondissement;203;132070203;Vallon des Auffes;H;0.117;0;0.097812746;0.061;0.672;0.01;0.116;0.097812746;0.733;0.126;0.424894866
13207;Marseille 7e Arrondissement;403;132070403;César Aleman;H;0.111;0.001;0.175206446;0;0.866;0.008;0.142;0.176206446;0.866;0.15;0.534140765
13207;Marseille 7e Arrondissement;601;132070601;Samatan;H;0.117;0.001;0.12641073;0;0.685;0.01;0.145;0.12741073;0.685;0.155;0.429813376
13207;Marseille 7e Arrondissement;602;132070602;Crinas-Saint-Eugène;H;0.089;0.001;0.16857854;0;0.768;0.009;0.173;0.16957854;0.768;0.182;0.500434251
13211;Marseille 11e Arrondissement;802;132110802;Z.I. Saint-Menet;A;1.68;0;0.025903202;0.068;0.626;0.004;0.049;0.025903202;0.694;0.053;0.339542694
13211;Marseille 11e Arrondissement;1102;132111102;Centres Commerciaux la Valentine;A;0.93;0;0.066576467;0;0.748;0.008;0.075;0.066576467;0.748;0.083;0.397403388
13211;Marseille 11e Arrondissement;101;132110101;Les Accates;H;1.807;0;0.012874372;0.021;0.828;0.003;0.047;0.012874372;0.849;0.05;0.404039027
13002;Allauch;106;130020106;Golf-Embus-Enco de Botte-Bellons;H;0.002;0.022;0.002039964;0;0.194;0.404;0.508;0.024039964;0.194;0.912;0.505289384
13212;Marseille 12e Arrondissement;701;132120701;Enco de Botte;H;2.15;0;0.017119722;0.031;0.86;0.004;0.039;0.017119722;0.891;0.043;0.422252741
13211;Marseille 11e Arrondissement;704;132110704;Les Libérateurs;H;1.542;0;0.017102803;0.008;0.772;0.004;0.08;0.017102803;0.78;0.084;0.389757983
13211;Marseille 11e Arrondissement;1101;132111101;Valentine Village;H;2.545;0;0.011321655;0.01;0.726;0.004;0.036;0.011321655;0.736;0.04;0.346234279
13215;Marseille 15e Arrondissement;103;132150103;Montléric Gherzo;H;1.204;0;0.013103489;0.034;0.822;0.004;0.067;0.013103489;0.856;0.071;0.417140122
13215;Marseille 15e Arrondissement;202;132150202;La Mure;H;0.852;0;0.014389748;0.024;0.784;0.004;0.069;0.014389748;0.808;0.073;0.396388535
13216;Marseille 16e Arrondissement;301;132160301;Grawitz Labro;H;0.506;0;0.044521883;0.058;0.825;0.006;0.079;0.044521883;0.883;0.085;0.450749401
13216;Marseille 16e Arrondissement;302;132160302;Séon;H;2.195;0;0.063543297;0.009;0.859;0.003;0.142;0.063543297;0.868;0.145;0.480461653
13215;Marseille 15e Arrondissement;801;132150801;Résidence Nord;H;0.154;0;0.046079613;0.103;0.789;0.01;0.092;0.046079613;0.892;0.102;0.463538906
13215;Marseille 15e Arrondissement;803;132150803;Plan d'Aou-Mimet;H;0.623;0;0.038510163;0.017;0.769;0.006;0.098;0.038510163;0.786;0.104;0.411759675
13215;Marseille 15e Arrondissement;901;132150901;Créneaux-Parc Saint-Louis;H;0.69;0;0.051536215;0.017;0.764;0.005;0.107;0.051536215;0.781;0.112;0.419197344
13215;Marseille 15e Arrondissement;903;132150903;Cité et Résidence Saint-Louis;H;0.421;0;0.048433907;0.05;0.898;0.007;0.093;0.048433907;0.948;0.1;0.489692858
13215;Marseille 15e Arrondissement;1001;132151001;La Bricarde;H;0.247;0;0.04141452;0.091;0.842;0.005;0.058;0.04141452;0.933;0.063;0.46230204
13215;Marseille 15e Arrondissement;1101;132151101;Cités de la Viste;H;0.165;0;0.04349618;0.095;0.917;0.005;0.093;0.04349618;1.012;0.098;0.516175382
13215;Marseille 15e Arrondissement;1102;132151102;La Viste Village;H;1.438;0;0.080066304;0.358;0.945;0.005;0.08;0.080066304;1.303;0.085;0.662166953
13205;Marseille 5e Arrondissement;305;132050305;Hôpital La Conception;A;0.122;0;0.156179756;0.024;0.749;0.008;0.202;0.156179756;0.773;0.21;0.509531149
13205;Marseille 5e Arrondissement;104;132050104;Baille-Bravet;H;0.083;0.001;0.152436474;0.056;0.883;0.006;0.18;0.153436474;0.939;0.186;0.574160004
